time_utc;sealevel_m
2025-07-29 00:00:00;4719.876
2025-07-29 00:15:00;4719.871
2025-07-29 00:30:00;4719.872
2025-07-29 00:45:00;4719.875
2025-07-29 01:00:00;4719.883
2025-07-29 01:15:00;4719.895
2025-07-29 01:30:00;4719.91
2025-07-29 01:45:00;4719.932
2025-07-29 02:00:00;4719.958
2025-07-29 02:15:00;4719.99
2025-07-29 02:30:00;4720.021
2025-07-29 02:45:00;4720.058
2025-07-29 03:00:00;4720.096
2025-07-29 03:15:00;4720.135
2025-07-29 03:30:00;4720.176
2025-07-29 03:45:00;4720.215
2025-07-29 04:00:00;4720.255
2025-07-29 04:15:00;4720.296
2025-07-29 04:30:00;4720.338
2025-07-29 04:45:00;4720.379
2025-07-29 05:00:00;4720.413
2025-07-29 05:15:00;4720.45
2025-07-29 05:30:00;4720.482
2025-07-29 05:45:00;4720.513
2025-07-29 06:00:00;4720.542
2025-07-29 06:15:00;4720.566
2025-07-29 06:30:00;4720.588
2025-07-29 06:45:00;4720.607
2025-07-29 07:00:00;4720.62
2025-07-29 07:15:00;4720.63
2025-07-29 07:30:00;4720.634
2025-07-29 07:45:00;4720.636
2025-07-29 08:00:00;4720.633
2025-07-29 08:15:00;4720.643
2025-07-29 08:30:00;4720.634
2025-07-29 08:45:00;4720.618
2025-07-29 09:00:00;4720.601
2025-07-29 09:15:00;4720.579
2025-07-29 09:30:00;4720.558
2025-07-29 09:45:00;4720.532
2025-07-29 10:00:00;4720.504
2025-07-29 10:15:00;4720.479
2025-07-29 10:30:00;4720.451
2025-07-29 10:45:00;4720.424
2025-07-29 11:00:00;4720.4
2025-07-29 11:15:00;4720.371
2025-07-29 11:30:00;4720.348
2025-07-29 11:45:00;4720.328
2025-07-29 12:00:00;4720.304
2025-07-29 12:15:00;4720.286
2025-07-29 12:30:00;4720.269
2025-07-29 12:45:00;4720.257
2025-07-29 13:00:00;4720.246
2025-07-29 13:15:00;4720.236
2025-07-29 13:30:00;4720.232
2025-07-29 13:45:00;4720.227
2025-07-29 14:00:00;4720.229
2025-07-29 14:15:00;4720.232
2025-07-29 14:30:00;4720.238
2025-07-29 14:45:00;4720.248
2025-07-29 15:00:00;4720.259
2025-07-29 15:15:00;4720.268
2025-07-29 15:30:00;4720.282
2025-07-29 15:45:00;4720.299
2025-07-29 16:00:00;4720.314
2025-07-29 16:15:00;4720.331
2025-07-29 16:30:00;4720.347
2025-07-29 16:45:00;4720.365
2025-07-29 17:00:00;4720.382
2025-07-29 17:15:00;4720.396
2025-07-29 17:30:00;4720.405
2025-07-29 17:45:00;4720.415
2025-07-29 18:00:00;4720.423
2025-07-29 18:15:00;4720.425
2025-07-29 18:30:00;4720.427
2025-07-29 18:45:00;4720.425
2025-07-29 19:00:00;4720.42
2025-07-29 19:15:00;4720.419
2025-07-29 19:30:00;4720.411
2025-07-29 19:45:00;4720.404
2025-07-29 20:00:00;4720.391
2025-07-29 20:15:00;4720.375
2025-07-29 20:30:00;4720.36
2025-07-29 20:45:00;4720.341
2025-07-29 21:00:00;4720.319
2025-07-29 21:15:00;4720.295
2025-07-29 21:30:00;4720.269
2025-07-29 21:45:00;4720.244
2025-07-29 22:00:00;4720.218
2025-07-29 22:15:00;4720.191
2025-07-29 22:30:00;4720.165
2025-07-29 22:45:00;4720.141
2025-07-29 23:00:00;4720.12
2025-07-29 23:15:00;4720.099
2025-07-29 23:30:00;4719.876
2025-07-29 23:45:00;4720.154
2025-07-30 00:00:00;4719.856
2025-07-30 00:15:00;4720.258
2025-07-30 00:30:00;4720.107
2025-07-30 00:45:00;4720.013
2025-07-30 01:00:00;4719.994
2025-07-30 01:01:00;4720.081
2025-07-30 01:02:00;4720.071
2025-07-30 01:03:00;4720.035
2025-07-30 01:04:00;4720.031
2025-07-30 01:05:00;4720.048
2025-07-30 01:06:00;4720.072
2025-07-30 01:07:00;4720.06
2025-07-30 01:08:00;4720.027
2025-07-30 01:09:00;4720.069
2025-07-30 01:10:00;4720.083
2025-07-30 01:11:00;4720.09
2025-07-30 01:12:00;4720.136
2025-07-30 01:13:00;4720.168
2025-07-30 01:14:00;4720.138
2025-07-30 01:15:00;4720.038
2025-07-30 01:16:00;4719.874
2025-07-30 01:17:00;4719.774
2025-07-30 01:18:00;4719.804
2025-07-30 01:19:00;4720.041
2025-07-30 01:20:00;4720.188
2025-07-30 01:21:00;4720.074
2025-07-30 01:22:00;4719.849
2025-07-30 01:23:00;4719.828
2025-07-30 01:24:00;4720.027
2025-07-30 01:25:00;4720.051
2025-07-30 01:26:00;4719.89
2025-07-30 01:27:00;4719.842
2025-07-30 01:28:00;4719.983
2025-07-30 01:29:00;4720.001
2025-07-30 01:30:00;4719.92
2025-07-30 01:31:00;4719.986
2025-07-30 01:32:00;4719.988
2025-07-30 01:33:00;4719.972
2025-07-30 01:34:00;4720.028
2025-07-30 01:35:00;4720.018
2025-07-30 01:36:00;4719.971
2025-07-30 01:37:00;4720.039
2025-07-30 01:38:00;4720.03
2025-07-30 01:39:00;4719.992
2025-07-30 01:40:00;4720.059
2025-07-30 01:41:00;4719.997
2025-07-30 01:42:00;4719.985
2025-07-30 01:43:00;4720.024
2025-07-30 01:44:00;4720.01
2025-07-30 01:45:00;4720.044
2025-07-30 01:46:00;4720.053
2025-07-30 01:47:00;4720.063
2025-07-30 01:48:00;4720.102
2025-07-30 01:49:00;4720.076
2025-07-30 01:50:00;4720.097
2025-07-30 01:51:00;4720.132
2025-07-30 01:52:00;4720.115
2025-07-30 01:53:00;4720.145
2025-07-30 01:54:00;4720.107
2025-07-30 01:55:00;4720.067
2025-07-30 01:56:00;4720.062
2025-07-30 01:57:00;4720.049
2025-07-30 01:58:00;4720.082
2025-07-30 01:59:00;4720.072
2025-07-30 02:00:00;4720.097
2025-07-30 02:01:00;4720.084
2025-07-30 02:02:00;4720.041
2025-07-30 02:03:00;4720.036
2025-07-30 02:04:00;4720.025
2025-07-30 02:05:00;4720.053
2025-07-30 02:06:00;4720.04
2025-07-30 02:07:00;4720.067
2025-07-30 02:08:00;4720.049
2025-07-30 02:09:00;4720.079
2025-07-30 02:10:00;4720.061
2025-07-30 02:11:00;4720.048
2025-07-30 02:12:00;4720.041
2025-07-30 02:13:00;4720.06
2025-07-30 02:14:00;4720.066
2025-07-30 02:15:00;4720.034
2025-07-30 02:16:00;4720.028
2025-07-30 02:17:00;4720.031
2025-07-30 02:18:00;4720.059
2025-07-30 02:19:00;4720.054
2025-07-30 02:20:00;4720.06
2025-07-30 02:21:00;4720.048
2025-07-30 02:22:00;4720.059
2025-07-30 02:23:00;4720.053
2025-07-30 02:24:00;4720.056
2025-07-30 02:25:00;4720.056
2025-07-30 02:26:00;4720.07
2025-07-30 02:27:00;4720.091
2025-07-30 02:28:00;4720.092
2025-07-30 02:29:00;4720.09
2025-07-30 02:30:00;4720.084
2025-07-30 02:31:00;4720.089
2025-07-30 02:32:00;4720.084
2025-07-30 02:33:00;4720.072
2025-07-30 02:34:00;4720.074
2025-07-30 02:35:00;4720.079
2025-07-30 02:36:00;4720.083
2025-07-30 02:37:00;4720.106
2025-07-30 02:38:00;4720.124
2025-07-30 02:39:00;4720.127
2025-07-30 02:40:00;4720.109
2025-07-30 02:41:00;4720.109
2025-07-30 02:42:00;4720.138
2025-07-30 02:43:00;4720.15
2025-07-30 02:44:00;4720.167
2025-07-30 02:45:00;4720.183
2025-07-30 02:46:00;4720.18
