time_utc;sealevel_m
2025-07-29 00:00:00;5788.303
2025-07-29 00:15:00;5788.279
2025-07-29 00:30:00;5788.261
2025-07-29 00:45:00;5788.244
2025-07-29 01:00:00;5788.234
2025-07-29 01:15:00;5788.228
2025-07-29 01:30:00;5788.23
2025-07-29 01:45:00;5788.237
2025-07-29 02:00:00;5788.25
2025-07-29 02:15:00;5788.269
2025-07-29 02:30:00;5788.291
2025-07-29 02:45:00;5788.315
2025-07-29 03:00:00;5788.347
2025-07-29 03:15:00;5788.38
2025-07-29 03:30:00;5788.415
2025-07-29 03:45:00;5788.454
2025-07-29 04:00:00;5788.496
2025-07-29 04:15:00;5788.539
2025-07-29 04:30:00;5788.581
2025-07-29 04:45:00;5788.627
2025-07-29 05:00:00;5788.676
2025-07-29 05:15:00;5788.724
2025-07-29 05:30:00;5788.772
2025-07-29 05:45:00;5788.815
2025-07-29 06:00:00;5788.858
2025-07-29 06:15:00;5788.896
2025-07-29 06:30:00;5788.933
2025-07-29 06:45:00;5788.968
2025-07-29 07:00:00;5788.994
2025-07-29 07:15:00;5789.017
2025-07-29 07:30:00;5789.035
2025-07-29 07:45:00;5789.049
2025-07-29 08:00:00;5789.057
2025-07-29 08:15:00;5789.059
2025-07-29 08:30:00;5789.054
2025-07-29 08:45:00;5789.048
2025-07-29 09:00:00;5789.039
2025-07-29 09:15:00;5789.025
2025-07-29 09:30:00;5789.007
2025-07-29 09:45:00;5788.985
2025-07-29 10:00:00;5788.962
2025-07-29 10:15:00;5788.934
2025-07-29 10:30:00;5788.905
2025-07-29 10:45:00;5788.872
2025-07-29 11:00:00;5788.842
2025-07-29 11:15:00;5788.81
2025-07-29 11:30:00;5788.775
2025-07-29 11:45:00;5788.746
2025-07-29 12:00:00;5788.715
2025-07-29 12:15:00;5788.687
2025-07-29 12:30:00;5788.662
2025-07-29 12:45:00;5788.634
2025-07-29 13:00:00;5788.611
2025-07-29 13:15:00;5788.593
2025-07-29 13:30:00;5788.58
2025-07-29 13:45:00;5788.569
2025-07-29 14:00:00;5788.561
2025-07-29 14:15:00;5788.559
2025-07-29 14:30:00;5788.559
2025-07-29 14:45:00;5788.561
2025-07-29 15:00:00;5788.569
2025-07-29 15:15:00;5788.581
2025-07-29 15:30:00;5788.594
2025-07-29 15:45:00;5788.611
2025-07-29 16:00:00;5788.629
2025-07-29 16:15:00;5788.65
2025-07-29 16:30:00;5788.67
2025-07-29 16:45:00;5788.689
2025-07-29 17:00:00;5788.713
2025-07-29 17:15:00;5788.736
2025-07-29 17:30:00;5788.757
2025-07-29 17:45:00;5788.778
2025-07-29 18:00:00;5788.798
2025-07-29 18:15:00;5788.817
2025-07-29 18:30:00;5788.834
2025-07-29 18:45:00;5788.849
2025-07-29 19:00:00;5788.861
2025-07-29 19:15:00;5788.868
2025-07-29 19:30:00;5788.872
2025-07-29 19:45:00;5788.872
2025-07-29 20:00:00;5788.869
2025-07-29 20:15:00;5788.862
2025-07-29 20:30:00;5788.852
2025-07-29 20:45:00;5788.838
2025-07-29 21:00:00;5788.819
2025-07-29 21:15:00;5788.8
2025-07-29 21:30:00;5788.776
2025-07-29 21:45:00;5788.751
2025-07-29 22:00:00;5788.725
2025-07-29 22:15:00;5788.695
2025-07-29 22:30:00;5788.665
2025-07-29 22:45:00;5788.632
2025-07-29 23:00:00;5788.601
2025-07-29 23:18:00;5788.56
2025-07-29 23:19:00;5788.558
2025-07-29 23:20:00;5788.556
2025-07-29 23:21:00;5788.553
2025-07-29 23:22:00;5788.551
2025-07-29 23:23:00;5788.548
2025-07-29 23:24:00;5788.545
2025-07-29 23:25:00;5788.543
2025-07-29 23:26:00;5788.536
2025-07-29 23:27:00;5788.496
2025-07-29 23:28:00;5788.619
2025-07-29 23:29:00;5788.475
2025-07-29 23:30:00;5788.469
2025-07-29 23:31:00;5788.404
2025-07-29 23:32:00;5788.705
2025-07-29 23:33:00;5788.602
2025-07-29 23:34:00;5788.051
2025-07-29 23:35:00;5789.171
2025-07-29 23:36:00;5788.55
2025-07-29 23:37:00;5788.158
2025-07-29 23:38:00;5788.588
2025-07-29 23:39:00;5788.524
2025-07-29 23:40:00;5788.46
2025-07-29 23:41:00;5788.597
2025-07-29 23:42:00;5788.564
2025-07-29 23:43:00;5788.514
2025-07-29 23:44:00;5788.436
2025-07-29 23:45:00;5788.582
2025-07-29 23:46:00;5788.387
2025-07-29 23:47:00;5788.556
2025-07-29 23:48:00;5788.555
2025-07-29 23:49:00;5788.453
2025-07-29 23:50:00;5788.68
2025-07-29 23:51:00;5788.413
2025-07-29 23:52:00;5788.376
2025-07-29 23:53:00;5788.665
2025-07-29 23:54:00;5788.836
2025-07-29 23:55:00;5788.971
2025-07-29 23:56:00;5789.206
2025-07-29 23:57:00;5789.332
2025-07-29 23:58:00;5789.228
2025-07-29 23:59:00;5788.988
2025-07-30 00:00:00;5788.928
2025-07-30 00:01:00;5788.834
2025-07-30 00:02:00;5788.481
2025-07-30 00:03:00;5788.451
2025-07-30 00:04:00;5788.057
2025-07-30 00:05:00;5787.991
2025-07-30 00:06:00;5788.121
2025-07-30 00:07:00;5788.214
2025-07-30 00:08:00;5788.206
2025-07-30 00:09:00;5788.289
2025-07-30 00:10:00;5788.228
2025-07-30 00:11:00;5788.249
2025-07-30 00:12:00;5788.299
2025-07-30 00:13:00;5788.383
2025-07-30 00:14:00;5788.267
2025-07-30 00:15:00;5788.422
2025-07-30 00:16:00;5788.376
2025-07-30 00:17:00;5788.443
2025-07-30 00:18:00;5788.254
2025-07-30 00:19:00;5788.342
2025-07-30 00:20:00;5788.326
2025-07-30 00:21:00;5788.475
2025-07-30 00:22:00;5788.413
2025-07-30 00:23:00;5788.373
2025-07-30 00:24:00;5788.388
2025-07-30 00:25:00;5788.437
2025-07-30 00:26:00;5788.373
2025-07-30 00:27:00;5788.437
2025-07-30 00:28:00;5788.381
2025-07-30 00:29:00;5788.383
2025-07-30 00:30:00;5788.429
2025-07-30 00:31:00;5788.382
2025-07-30 00:32:00;5788.402
2025-07-30 00:33:00;5788.439
2025-07-30 00:34:00;5788.42
2025-07-30 00:35:00;5788.409
2025-07-30 00:36:00;5788.423
2025-07-30 00:37:00;5788.418
2025-07-30 00:38:00;5788.408
2025-07-30 00:39:00;5788.473
2025-07-30 00:40:00;5788.443
2025-07-30 00:41:00;5788.502
2025-07-30 00:42:00;5788.445
2025-07-30 00:43:00;5788.412
2025-07-30 00:44:00;5788.316
2025-07-30 00:45:00;5788.314
2025-07-30 00:46:00;5788.316
2025-07-30 00:47:00;5788.388
2025-07-30 00:48:00;5788.301
2025-07-30 00:49:00;5788.294
2025-07-30 00:50:00;5788.351
2025-07-30 00:51:00;5788.372
2025-07-30 00:52:00;5788.346
2025-07-30 00:53:00;5788.319
2025-07-30 00:54:00;5788.333
2025-07-30 00:55:00;5788.345
2025-07-30 00:56:00;5788.284
2025-07-30 00:57:00;5788.315
2025-07-30 00:58:00;5788.311
2025-07-30 00:59:00;5788.355
2025-07-30 01:00:00;5788.361
2025-07-30 01:01:00;5788.376
2025-07-30 01:02:00;5788.394
2025-07-30 01:03:00;5788.41
2025-07-30 01:04:00;5788.394
2025-07-30 01:05:00;5788.379
2025-07-30 01:06:00;5788.392
2025-07-30 01:07:00;5788.378
2025-07-30 01:08:00;5788.356
2025-07-30 01:09:00;5788.344
2025-07-30 01:10:00;5788.356
2025-07-30 01:11:00;5788.378
2025-07-30 01:12:00;5788.414
2025-07-30 01:13:00;5788.452
2025-07-30 01:14:00;5788.45
2025-07-30 01:15:00;5788.475
2025-07-30 01:16:00;5788.478
2025-07-30 01:17:00;5788.436
2025-07-30 01:18:00;5788.447
2025-07-30 01:19:00;5788.457
2025-07-30 01:20:00;5788.443
2025-07-30 01:21:00;5788.41
2025-07-30 01:22:00;5788.384
2025-07-30 01:23:00;5788.35
