time_utc;sealevel_m
2025-07-29 00:00:00;5321.695
2025-07-29 00:15:00;5321.656
2025-07-29 00:30:00;5321.62
2025-07-29 00:45:00;5321.59
2025-07-29 01:00:00;5321.563
2025-07-29 01:15:00;5321.542
2025-07-29 01:30:00;5321.524
2025-07-29 01:45:00;5321.513
2025-07-29 02:00:00;5321.507
2025-07-29 02:15:00;5321.506
2025-07-29 02:30:00;5321.51
2025-07-29 02:45:00;5321.518
2025-07-29 03:00:00;5321.533
2025-07-29 03:15:00;5321.553
2025-07-29 03:30:00;5321.577
2025-07-29 03:45:00;5321.606
2025-07-29 04:00:00;5321.637
2025-07-29 04:15:00;5321.674
2025-07-29 04:30:00;5321.716
2025-07-29 04:45:00;5321.76
2025-07-29 05:00:00;5321.806
2025-07-29 05:15:00;5321.858
2025-07-29 05:30:00;5321.907
2025-07-29 05:45:00;5321.957
2025-07-29 06:00:00;5322.006
2025-07-29 06:15:00;5322.05
2025-07-29 06:30:00;5322.096
2025-07-29 06:45:00;5322.135
2025-07-29 07:00:00;5322.171
2025-07-29 07:15:00;5322.203
2025-07-29 07:30:00;5322.235
2025-07-29 07:45:00;5322.257
2025-07-29 08:00:00;5322.278
2025-07-29 08:15:00;5322.29
2025-07-29 08:30:00;5322.301
2025-07-29 08:45:00;5322.305
2025-07-29 09:00:00;5322.304
2025-07-29 09:15:00;5322.299
2025-07-29 09:30:00;5322.291
2025-07-29 09:45:00;5322.281
2025-07-29 10:00:00;5322.266
2025-07-29 10:15:00;5322.247
2025-07-29 10:30:00;5322.222
2025-07-29 10:45:00;5322.196
2025-07-29 11:00:00;5322.166
2025-07-29 11:15:00;5322.134
2025-07-29 11:30:00;5322.104
2025-07-29 11:45:00;5322.072
2025-07-29 12:00:00;5322.036
2025-07-29 12:15:00;5322.006
2025-07-29 12:30:00;5321.975
2025-07-29 12:45:00;5321.946
2025-07-29 13:00:00;5321.922
2025-07-29 13:15:00;5321.898
2025-07-29 13:30:00;5321.878
2025-07-29 13:45:00;5321.861
2025-07-29 14:00:00;5321.846
2025-07-29 14:15:00;5321.836
2025-07-29 14:30:00;5321.833
2025-07-29 14:45:00;5321.829
2025-07-29 15:00:00;5321.832
2025-07-29 15:15:00;5321.839
2025-07-29 15:30:00;5321.849
2025-07-29 15:45:00;5321.861
2025-07-29 16:00:00;5321.878
2025-07-29 16:15:00;5321.899
2025-07-29 16:30:00;5321.919
2025-07-29 16:45:00;5321.94
2025-07-29 17:00:00;5321.963
2025-07-29 17:15:00;5321.988
2025-07-29 17:30:00;5322.014
2025-07-29 17:45:00;5322.043
2025-07-29 18:00:00;5322.073
2025-07-29 18:15:00;5322.101
2025-07-29 18:30:00;5322.126
2025-07-29 18:45:00;5322.152
2025-07-29 19:00:00;5322.17
2025-07-29 19:15:00;5322.187
2025-07-29 19:30:00;5322.203
2025-07-29 19:45:00;5322.212
2025-07-29 20:00:00;5322.221
2025-07-29 20:15:00;5322.222
2025-07-29 20:30:00;5322.221
2025-07-29 20:45:00;5322.217
2025-07-29 21:00:00;5322.204
2025-07-29 21:15:00;5322.189
2025-07-29 21:30:00;5322.172
2025-07-29 21:45:00;5322.15
2025-07-29 22:00:00;5322.127
2025-07-29 22:15:00;5322.098
2025-07-29 22:30:00;5322.064
2025-07-29 22:45:00;5322.034
2025-07-29 23:00:00;5321.997
2025-07-29 23:20:00;5321.944
2025-07-29 23:21:00;5321.941
2025-07-29 23:22:00;5321.939
2025-07-29 23:23:00;5321.937
2025-07-29 23:24:00;5321.935
2025-07-29 23:25:00;5321.933
2025-07-29 23:26:00;5321.931
2025-07-29 23:27:00;5321.927
2025-07-29 23:28:00;5321.945
2025-07-29 23:29:00;5322.027
2025-07-29 23:30:00;5321.824
2025-07-29 23:31:00;5321.989
2025-07-29 23:32:00;5321.729
2025-07-29 23:33:00;5321.929
2025-07-29 23:34:00;5322.066
2025-07-29 23:35:00;5321.858
2025-07-29 23:36:00;5321.755
2025-07-29 23:37:00;5322.137
2025-07-29 23:38:00;5321.87
2025-07-29 23:39:00;5321.795
2025-07-29 23:40:00;5321.953
2025-07-29 23:41:00;5321.971
2025-07-29 23:42:00;5321.88
2025-07-29 23:43:00;5321.847
2025-07-29 23:44:00;5321.763
2025-07-29 23:45:00;5321.95
2025-07-29 23:46:00;5321.84
2025-07-29 23:47:00;5321.939
2025-07-29 23:48:00;5321.758
2025-07-29 23:49:00;5321.906
2025-07-29 23:50:00;5321.868
2025-07-29 23:51:00;5321.984
2025-07-29 23:52:00;5321.756
2025-07-29 23:53:00;5321.889
2025-07-29 23:54:00;5321.793
2025-07-29 23:55:00;5321.932
2025-07-29 23:56:00;5321.868
2025-07-29 23:57:00;5321.819
2025-07-29 23:58:00;5321.925
2025-07-29 23:59:00;5321.773
2025-07-30 00:00:00;5321.815
2025-07-30 00:01:00;5321.878
2025-07-30 00:02:00;5321.86
2025-07-30 00:03:00;5321.839
2025-07-30 00:04:00;5321.888
2025-07-30 00:05:00;5321.97
2025-07-30 00:06:00;5321.991
2025-07-30 00:07:00;5321.955
2025-07-30 00:08:00;5322.086
2025-07-30 00:09:00;5321.965
2025-07-30 00:10:00;5322.019
2025-07-30 00:11:00;5321.95
2025-07-30 00:12:00;5321.977
2025-07-30 00:13:00;5321.944
2025-07-30 00:14:00;5322.003
2025-07-30 00:15:00;5321.977
2025-07-30 00:16:00;5321.996
2025-07-30 00:17:00;5321.924
2025-07-30 00:18:00;5321.988
2025-07-30 00:19:00;5321.91
2025-07-30 00:20:00;5321.972
2025-07-30 00:21:00;5321.878
2025-07-30 00:22:00;5321.867
2025-07-30 00:23:00;5321.796
2025-07-30 00:24:00;5321.814
2025-07-30 00:25:00;5321.808
2025-07-30 00:26:00;5321.796
2025-07-30 00:27:00;5321.806
2025-07-30 00:28:00;5321.77
2025-07-30 00:29:00;5321.778
2025-07-30 00:30:00;5321.804
2025-07-30 00:31:00;5321.767
2025-07-30 00:32:00;5321.747
2025-07-30 00:33:00;5321.766
2025-07-30 00:34:00;5321.692
2025-07-30 00:35:00;5321.713
2025-07-30 00:36:00;5321.738
2025-07-30 00:37:00;5321.683
2025-07-30 00:38:00;5321.702
2025-07-30 00:39:00;5321.704
2025-07-30 00:40:00;5321.668
2025-07-30 00:41:00;5321.699
2025-07-30 00:42:00;5321.701
2025-07-30 00:43:00;5321.715
2025-07-30 00:44:00;5321.714
